country,avg_price_usd,count
Australia,559000,1
Austria,464706,107
Belarus,98199,5194
Croatia,516185,357
Cyprus,196386,46
Czechia,353920,12
Finland,471668,5
Georgia,86886,1935
Greece,619441,1362
Hungary,176259,3176
Indonesia,304614,59
Italy,1027563,192
Latvia,580908,476
Lithuania,233533,997
Montenegro,355264,754
N. Cyprus,199337,514
Poland,478734,129
Portugal,804114,172
Russia,137405,12874
Serbia,133804,20
Spain,722103,1504
Thailand,263725,457
Turkey,335048,10520
United Arab Emirates,1010308,1334
United States of America,1234640,413
Uzbekistan,102266,794
