country,rooms,area,min_price_in_USD,continent
Australia,2,120,559000,Australia
Austria,2,43,160831,Europe
Belarus,2,29,3000,Europe
Croatia,2,87,91302,Europe
Cyprus,2,91,71365,Europe
Czechia,1,33,199147,Europe
Finland,3,110,281514,Europe
Georgia,1,30,19500,Europe
Greece,2,30,46738,Europe
Hungary,2,53,80635,Europe
Indonesia,2,32,109000,Asia
Italy,2,48,58524,Europe
Latvia,1,33,76435,Europe
Lithuania,1,35,24999,Europe
Montenegro,1,20,46153,Europe
N. Cyprus,1,33,44937,Europe
Poland,1,27,131213,Europe
Portugal,2,46,196161,Europe
Russia,1,31,18020,Europe
Serbia,2,43,65965,Europe
Spain,2,74,101490,Europe
Thailand,1,22,42000,Asia
Turkey,2,49,15985,Asia
United Arab Emirates,1,84,60500,Asia
United States of America,2,100,108364,North America
Uzbekistan,1,29,19897,Asia
